# Simulation 9 (Up to date)
# 795 data points written for 2 variables.
#
# Tempo (s),Força de arrasto (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-3.237e-8
0.02,1.457e-5
0.03,3.909e-4
0.04,0.002
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.006
0.06,0.011
0.07,0.019
0.08,0.027
0.09,0.038
0.1,0.05
0.11,0.063
0.12,0.076
0.13,0.091
0.14,0.107
0.15,0.124
0.16,0.141
0.17,0.158
0.18,0.176
0.19,0.195
0.2,0.213
0.21,0.234
0.22,0.256
0.23,0.279
0.24,0.302
# Event LAUNCHROD occurred at t=0.25 seconds
0.25,0.327
0.265,0.366
0.288,0.428
0.321,0.534
0.371,0.725
0.421,0.958
0.471,1.235
0.521,1.556
0.571,1.919
0.621,2.334
0.671,2.804
0.721,3.337
0.771,3.935
0.821,4.59
0.871,5.315
0.921,6.115
0.971,6.992
1.021,7.95
1.071,8.995
1.121,10.137
1.171,11.377
1.221,12.722
1.271,14.174
1.321,15.74
1.371,17.417
1.421,19.208
1.471,21.117
1.521,23.141
1.571,25.292
1.621,27.577
1.671,30.008
1.721,32.598
1.771,35.35
1.821,38.268
1.871,41.344
1.921,44.577
1.971,47.977
2.021,51.558
2.071,55.331
2.121,59.309
2.171,63.489
2.221,67.862
2.271,72.429
2.321,77.205
2.371,82.219
2.421,87.47
2.471,92.943
2.521,98.639
2.571,104.583
2.621,110.795
2.671,117.261
2.721,123.973
2.771,130.955
# Event BURNOUT occurred at t=2.82 seconds
2.82,135.163
2.87,132.908
2.92,130.699
2.97,128.551
3.02,126.442
3.07,124.377
3.12,122.355
3.17,120.372
3.22,118.419
3.27,116.514
3.32,114.646
3.37,112.818
3.42,111.028
3.47,109.271
3.52,107.556
3.57,105.88
3.62,104.229
3.67,102.609
3.72,101.015
3.77,99.452
3.82,97.922
3.87,96.424
3.92,94.954
3.97,93.504
4.02,92.079
4.07,90.689
4.12,89.319
4.17,87.978
4.22,86.668
4.27,85.385
4.32,84.116
4.37,82.869
4.42,81.647
4.47,80.443
4.52,79.257
4.57,78.088
4.62,76.947
4.67,75.828
4.72,74.725
4.77,73.643
4.82,72.57
4.87,71.524
4.92,70.497
4.97,69.485
5.02,68.485
5.07,67.499
5.12,66.528
5.17,65.584
5.22,64.652
5.27,63.731
5.32,62.821
5.37,61.924
5.42,61.049
5.47,60.187
5.52,59.329
5.57,58.484
5.62,57.656
5.67,56.846
5.72,56.047
5.77,55.255
5.82,54.474
5.87,53.705
5.92,52.951
5.97,52.208
6.02,51.477
6.07,50.755
6.12,50.043
6.17,49.337
6.22,48.64
6.27,47.953
